"site","strain","block","area"
"elk","elk.C","a",5.466
"elk","elk.C","a",4.826
"elk","elk.C","a",5.975
"elk","elk.C","b",5.935
"elk","elk.C","b",5.778
"elk","elk.C","b",5.397
"elk","elk.C","b",5.793
"elk","elk.C","b",6.529
"hhl","hhl.A","a",3.528
"hhl","hhl.A","a",3.602
"hhl","hhl.A","a",3.961
"hhl","hhl.A","a",3.083
"hhl","hhl.A","a",3.93
"hhl","hhl.A","b",3.712
"hhl","hhl.A","b",2.665
"hhl","hhl.A","b",2.793
"hhl","hhl.A","b",3.394
"hhl","hhl.A","b",3.214
"hhl","hhl.B","a",3.938
"hhl","hhl.B","a",3.658
"hhl","hhl.B","a",3.776
"hhl","hhl.B","a",3.617
"hhl","hhl.B","a",4.287
"hhl","hhl.B","b",4.115
"hhl","hhl.B","b",4.165
"hhl","hhl.B","b",3.567
"hhl","hhl.B","b",3.908
"hhl","hhl.B","b",3.724
"hhl","hhl.C","a",5.587
"hhl","hhl.C","a",5.275
"hhl","hhl.C","a",5.292
"hhl","hhl.C","a",5.586
"hhl","hhl.C","a",5.477
"hhl","hhl.C","b",4.991
"hhl","hhl.C","b",4.74
"hhl","hhl.C","b",4.987
"hhl","hhl.C","b",5.523
"hhl","hhl.C","b",5.454
"han","han.A","a",5.223
"han","han.A","a",4.716
"han","han.A","a",4.989
"han","han.A","a",5.301
"han","han.A","a",5.515
"han","han.A","b",5.36
"han","han.A","b",5.188
"han","han.A","b",5.018
"han","han.A","b",5.179
"han","han.A","b",5.604
"han","han.B","a",4.866
"han","han.B","a",5.512
"han","han.B","a",5.882
"han","han.B","a",5.115
"han","han.B","a",5.241
"han","han.B","b",5.12
"han","han.B","b",5.481
"han","han.B","b",5.418
"han","han.B","b",5.369
"han","han.B","b",5.647
"han","han.C","a",4.963
"han","han.C","a",5.051
"han","han.C","a",4.766
"han","han.C","a",4.489
"han","han.C","a",4.589
"han","han.C","b",6.064
"han","han.C","b",5.548
"han","han.C","b",5.32
"han","han.C","b",5.262
"han","han.C","b",5.402
"hwy","hwy.C","a",5.768
"hwy","hwy.C","a",4.654
"hwy","hwy.C","a",5.492
"hwy","hwy.C","a",5.549
"hwy","hwy.C","a",5.3
"hwy","hwy.C","b",4.811
"hwy","hwy.C","b",5.498
"hwy","hwy.C","b",4.507
"hwy","hwy.C","b",5.359
"hwy","hwy.C","b",5.346
"keh","keh.A","a",4.773
"keh","keh.A","a",4.629
"keh","keh.A","a",4.667
"keh","keh.A","a",4.539
"keh","keh.A","a",4.695
"keh","keh.A","b",4.539
"keh","keh.A","b",4.261
"keh","keh.A","b",3.962
"keh","keh.A","b",4.159
"keh","keh.A","b",4.042
"keh","keh.C","a",4.027
"keh","keh.C","a",3.849
"keh","keh.C","a",4.304
"keh","keh.C","a",3.755
"keh","keh.C","a",4.238
"keh","keh.C","b",4.619
"keh","keh.C","b",4.544
"keh","keh.C","b",4.462
"keh","keh.C","b",4.375
"keh","keh.C","b",4.38
"mch","mch.B","a",4.429
"mch","mch.B","a",4.689
"mch","mch.B","a",4.404
"mch","mch.B","a",4.262
"mch","mch.B","a",4.595
"mch","mch.B","b",4.866
"mch","mch.B","b",5.05
"mch","mch.B","b",4.817
"mch","mch.B","b",5.527
"mch","mch.B","b",4.942
"mch","mch.C","a",4.055
"mch","mch.C","a",4.513
"mch","mch.C","a",3.887
"mch","mch.C","a",4.137
"mch","mch.C","a",3.481
"mch","mch.C","b",4.477
"mch","mch.C","b",3.515
"mch","mch.C","b",3.848
"mch","mch.C","b",3.881
"mch","mch.C","b",4.412
"prk","prk.A","a",4.736
"prk","prk.A","a",5.009
"prk","prk.A","a",4.891
"prk","prk.A","a",5.028
"prk","prk.A","a",4.953
"prk","prk.A","b",5.194
"prk","prk.A","b",4.979
"prk","prk.A","b",5.093
"prk","prk.A","b",4.918
"prk","prk.A","b",5.087
"prk","prk.B","a",4.983
"prk","prk.B","a",4.683
"prk","prk.B","a",5.307
"prk","prk.B","a",5.192
"prk","prk.B","a",4.492
"prk","prk.B","b",5.344
"prk","prk.B","b",5.643
"prk","prk.B","b",5.938
"prk","prk.B","b",5.548
"prk","prk.B","b",4.648
"prk","prk.C","a",4.801
"prk","prk.C","a",4.68
"prk","prk.C","a",5.065
"prk","prk.C","a",4.883
"prk","prk.C","a",5.221
"prk","prk.C","b",5.216
"prk","prk.C","b",5.07
"prk","prk.C","b",5.487
"prk","prk.C","b",5.126
"prk","prk.C","b",5.176
"pat","pat.A","a",6.283
"pat","pat.A","a",6.366
"pat","pat.A","a",6.532
"pat","pat.A","a",6.17
"pat","pat.A","a",6.51
"pat","pat.A","b",5.828
"pat","pat.A","b",5.435
"pat","pat.A","b",6.578
"pat","pat.A","b",5.805
"pat","pat.A","b",5.957
"pat","pat.B","a",5.267
"pat","pat.B","a",5.652
"pat","pat.B","a",5.552
"pat","pat.B","a",5.749
"pat","pat.B","a",5.525
"pat","pat.B","b",5.424
"pat","pat.B","b",4.899
"pat","pat.B","b",5.762
"pat","pat.B","b",5.384
"pat","pat.B","b",5.428
"pat","pat.C","a",5.308
"pat","pat.C","a",5.138
