"strain","surv_low","surv_med","surv_upp","haz_low","haz_med","haz_upp","t","model","waic","diverg"
"wht.C",0.754989870575204,0.813669181264493,0.85949395697589,0.0407329815059111,0.0554726611113491,0.0756088168206857,3.71717171717172,"Exponential",314.468592740203,0
"wht.C",0.741843755705927,0.803250229938747,0.851398742352213,0.0407329815059111,0.0554726611113491,0.0756088168206857,3.94949494949495,"Exponential",314.468592740203,0
"wht.C",0.728926545067473,0.792964692228733,0.843379773185845,0.0407329815059111,0.0554726611113491,0.0756088168206857,4.18181818181818,"Exponential",314.468592740203,0
"wht.C",0.716234252907447,0.782810859786609,0.835436331352447,0.0407329815059111,0.0554726611113491,0.0756088168206857,4.41414141414141,"Exponential",314.468592740203,0
"wht.C",0.703762962874639,0.772787046139759,0.827567705491399,0.0407329815059111,0.0554726611113491,0.0756088168206857,4.64646464646465,"Exponential",314.468592740203,0
"wht.C",0.691508826810596,0.762891586410675,0.819773190942088,0.0407329815059111,0.0554726611113491,0.0756088168206857,4.87878787878788,"Exponential",314.468592740203,0
"wht.C",0.679468063562223,0.753122837040439,0.812052089680811,0.0407329815059111,0.0554726611113491,0.0756088168206857,5.11111111111111,"Exponential",314.468592740203,0
"wht.C",0.667636957815062,0.743479175515737,0.804403710258262,0.0407329815059111,0.0554726611113491,0.0756088168206857,5.34343434343434,"Exponential",314.468592740203,0
"wht.C",0.656011858946897,0.733959000099375,0.796827367737608,0.0407329815059111,0.0554726611113491,0.0756088168206857,5.57575757575758,"Exponential",314.468592740203,0
"wht.C",0.644589179901301,0.724560729564241,0.789322383633155,0.0407329815059111,0.0554726611113491,0.0756088168206857,5.80808080808081,"Exponential",314.468592740203,0
"wht.C",0.633365396080818,0.715282802930676,0.781888085849585,0.0407329815059111,0.0554726611113491,0.0756088168206857,6.04040404040404,"Exponential",314.468592740203,0
"wht.C",0.622337044259399,0.70612367920721,0.774523808621767,0.0407329815059111,0.0554726611113491,0.0756088168206857,6.27272727272727,"Exponential",314.468592740203,0
"wht.C",0.611500721513789,0.697081837134609,0.767228892455136,0.0407329815059111,0.0554726611113491,0.0756088168206857,6.50505050505051,"Exponential",314.468592740203,0
"wht.C",0.600853084173514,0.688155774933212,0.760002684066635,0.0407329815059111,0.0554726611113491,0.0756088168206857,6.73737373737374,"Exponential",314.468592740203,0
"wht.C",0.590390846789149,0.679344010053495,0.75284453632621,0.0407329815059111,0.0554726611113491,0.0756088168206857,6.96969696969697,"Exponential",314.468592740203,0
"wht.C",0.580110781118561,0.670645078929828,0.745753808198857,0.0407329815059111,0.0554726611113491,0.0756088168206857,7.2020202020202,"Exponential",314.468592740203,0
"wht.C",0.570009715130791,0.662057536737394,0.738729864687216,0.0407329815059111,0.0554726611113491,0.0756088168206857,7.43434343434343,"Exponential",314.468592740203,0
"wht.C",0.560084532027291,0.65357995715221,0.731772076774702,0.0407329815059111,0.0554726611113491,0.0756088168206857,7.66666666666667,"Exponential",314.468592740203,0
"wht.C",0.550332169280197,0.645210932114227,0.724879821369182,0.0407329815059111,0.0554726611113491,0.0756088168206857,7.8989898989899,"Exponential",314.468592740203,0
"wht.C",0.540749617687351,0.636949071593463,0.718052481247166,0.0407329815059111,0.0554726611113491,0.0756088168206857,8.13131313131313,"Exponential",314.468592740203,0
"wht.C",0.531333920443779,0.628793003359129,0.711289444998539,0.0407329815059111,0.0554726611113491,0.0756088168206857,8.36363636363636,"Exponential",314.468592740203,0
"wht.C",0.522082172229332,0.620741372751712,0.704590106971803,0.0407329815059111,0.0554726611113491,0.0756088168206857,8.5959595959596,"Exponential",314.468592740203,0
"wht.C",0.512991518312214,0.612792842457978,0.697953867219842,0.0407329815059111,0.0554726611113491,0.0756088168206857,8.82828282828283,"Exponential",314.468592740203,0
"wht.C",0.504059153668127,0.604946092288853,0.691380131446196,0.0407329815059111,0.0554726611113491,0.0756088168206857,9.06060606060606,"Exponential",314.468592740203,0
"wht.C",0.495282322114743,0.59719981896015,0.684868310951834,0.0407329815059111,0.0554726611113491,0.0756088168206857,9.29292929292929,"Exponential",314.468592740203,0
"wht.C",0.486658315461253,0.589552735876106,0.67841782258244,0.0407329815059111,0.0554726611113491,0.0756088168206857,9.52525252525253,"Exponential",314.468592740203,0
"wht.C",0.478184472672724,0.582003572915683,0.672028088676186,0.0407329815059111,0.0554726611113491,0.0756088168206857,9.75757575757576,"Exponential",314.468592740203,0
"wht.C",0.469858179049008,0.574551076221619,0.665698537012002,0.0407329815059111,0.0554726611113491,0.0756088168206857,9.98989898989899,"Exponential",314.468592740203,0
"wht.C",0.461676865417941,0.567194007992164,0.659428600758332,0.0407329815059111,0.0554726611113491,0.0756088168206857,10.2222222222222,"Exponential",314.468592740203,0
"wht.C",0.4536380073426,0.559931146275495,0.653217718422373,0.0407329815059111,0.0554726611113491,0.0756088168206857,10.4545454545455,"Exponential",314.468592740203,0
"wht.C",0.445739124342353,0.552761284766758,0.647065333799788,0.0407329815059111,0.0554726611113491,0.0756088168206857,10.6868686868687,"Exponential",314.468592740203,0
"wht.C",0.437977779127485,0.545683232607711,0.6409708959249,0.0407329815059111,0.0554726611113491,0.0756088168206857,10.9191919191919,"Exponential",314.468592740203,0
"wht.C",0.430351576847138,0.538695814188933,0.634933859021349,0.0407329815059111,0.0554726611113491,0.0756088168206857,11.1515151515152,"Exponential",314.468592740203,0
"wht.C",0.422858164350356,0.531797868954559,0.628953682453219,0.0407329815059111,0.0554726611113491,0.0756088168206857,11.3838383838384,"Exponential",314.468592740203,0
"wht.C",0.415495229459989,0.524988251209527,0.623029830676617,0.0407329815059111,0.0554726611113491,0.0756088168206857,11.6161616161616,"Exponential",314.468592740203,0
"wht.C",0.408260500259248,0.518265829929284,0.617161773191718,0.0407329815059111,0.0554726611113491,0.0756088168206857,11.8484848484848,"Exponential",314.468592740203,0
"wht.C",0.401151744390677,0.511629488571931,0.611348984495254,0.0407329815059111,0.0554726611113491,0.0756088168206857,12.0808080808081,"Exponential",314.468592740203,0
"wht.C",0.394166768367333,0.505078124892776,0.605590944033458,0.0407329815059111,0.0554726611113491,0.0756088168206857,12.3131313131313,"Exponential",314.468592740203,0
"wht.C",0.387303416895958,0.498610650761259,0.59988713615544,0.0407329815059111,0.0554726611113491,0.0756088168206857,12.5454545454545,"Exponential",314.468592740203,0
"wht.C",0.380559572211945,0.49222599198022,0.594237050067014,0.0407329815059111,0.0554726611113491,0.0756088168206857,12.7777777777778,"Exponential",314.468592740203,0
"wht.C",0.37393315342587,0.485923088107486,0.588640179784953,0.0407329815059111,0.0554726611113491,0.0756088168206857,13.010101010101,"Exponential",314.468592740203,0
"wht.C",0.367422115881413,0.47970089227974,0.583096024091676,0.0407329815059111,0.0554726611113491,0.0756088168206857,13.2424242424242,"Exponential",314.468592740203,0
"wht.C",0.361024450524455,0.47355837103864,0.577604086490363,0.0407329815059111,0.0554726611113491,0.0756088168206857,13.4747474747475,"Exponential",314.468592740203,0
"wht.C",0.354738183283162,0.467494504159178,0.572163875160494,0.0407329815059111,0.0554726611113491,0.0756088168206857,13.7070707070707,"Exponential",314.468592740203,0
"wht.C",0.348561374458858,0.46150828448022,0.5667749029138,0.0407329815059111,0.0554726611113491,0.0756088168206857,13.9393939393939,"Exponential",314.468592740203,0
"wht.C",0.342492118127518,0.455598717737232,0.561436687150639,0.0407329815059111,0.0554726611113491,0.0756088168206857,14.1717171717172,"Exponential",314.468592740203,0
"wht.C",0.33652854155166,0.449764822397134,0.556148749816773,0.0407329815059111,0.0554726611113491,0.0756088168206857,14.4040404040404,"Exponential",314.468592740203,0
"wht.C",0.330668804602504,0.444005629495278,0.550910617360562,0.0407329815059111,0.0554726611113491,0.0756088168206857,14.6363636363636,"Exponential",314.468592740203,0
"wht.C",0.324911099192167,0.438320182474513,0.54572182069055,0.0407329815059111,0.0554726611113491,0.0756088168206857,14.8686868686869,"Exponential",314.468592740203,0
"wht.C",0.319253648715764,0.432707537026301,0.540581895133462,0.0407329815059111,0.0554726611113491,0.0756088168206857,15.1010101010101,"Exponential",314.468592740203,0
"wht.C",0.313694707503213,0.427166760933883,0.535490380392584,0.0407329815059111,0.0554726611113491,0.0756088168206857,15.3333333333333,"Exponential",314.468592740203,0
"wht.C",0.308232560280592,0.42169693391744,0.530446820506551,0.0407329815059111,0.0554726611113491,0.0756088168206857,15.5656565656566,"Exponential",314.468592740203,0
"wht.C",0.302865521640864,0.416297147481242,0.525450763808507,0.0407329815059111,0.0554726611113491,0.0756088168206857,15.7979797979798,"Exponential",314.468592740203,0
"wht.C",0.297591935523833,0.410966504762755,0.520501762885659,0.0407329815059111,0.0554726611113491,0.0756088168206857,16.030303030303,"Exponential",314.468592740203,0
"wht.C",0.292410174705144,0.405704120383682,0.51559937453921,0.0407329815059111,0.0554726611113491,0.0756088168206857,16.2626262626263,"Exponential",314.468592740203,0
"wht.C",0.287318640294183,0.400509120302901,0.51074315974467,0.0407329815059111,0.0554726611113491,0.0756088168206857,16.4949494949495,"Exponential",314.468592740203,0
"wht.C",0.282315761240723,0.3953806416713,0.505932683612537,0.0407329815059111,0.0554726611113491,0.0756088168206857,16.7272727272727,"Exponential",314.468592740203,0
"wht.C",0.277399993850159,0.390317832688464,0.501167515349355,0.0407329815059111,0.0554726611113491,0.0756088168206857,16.959595959596,"Exponential",314.468592740203,0
"wht.C",0.27256982130718,0.385319852461194,0.496447228219133,0.0407329815059111,0.0554726611113491,0.0756088168206857,17.1919191919192,"Exponential",314.468592740203,0
"wht.C",0.267823753207739,0.380385870863843,0.491771399505127,0.0407329815059111,0.0554726611113491,0.0756088168206857,17.4242424242424,"Exponential",314.468592740203,0
"wht.C",0.263160325099177,0.375515068400442,0.487139610471991,0.0407329815059111,0.0554726611113491,0.0756088168206857,17.6565656565657,"Exponential",314.468592740203,0
"wht.C",0.258578098028339,0.370706636068582,0.482551446328271,0.0407329815059111,0.0554726611113491,0.0756088168206857,17.8888888888889,"Exponential",314.468592740203,0
"wht.C",0.25407565809758,0.365959775225048,0.478006496189263,0.0407329815059111,0.0554726611113491,0.0756088168206857,18.1212121212121,"Exponential",314.468592740203,0
"wht.C",0.249651616028481,0.361273697453172,0.473504353040215,0.0407329815059111,0.0554726611113491,0.0756088168206857,18.3535353535354,"Exponential",314.468592740203,0
"wht.C",0.245304606733176,0.35664762443188,0.46904461369988,0.0407329815059111,0.0554726611113491,0.0756088168206857,18.5858585858586,"Exponential",314.468592740203,0
"wht.C",0.241033288893138,0.352080787806422,0.464626878784406,0.0407329815059111,0.0554726611113491,0.0756088168206857,18.8181818181818,"Exponential",314.468592740203,0
"wht.C",0.236836344545299,0.347572429060752,0.460250752671574,0.0407329815059111,0.0554726611113491,0.0756088168206857,19.0505050505051,"Exponential",314.468592740203,0
